seed,family,group,galaxies,radii,logspeed_rmse
9062302,newton_fixed,inner_r_over_Rd_lt1,96,525,0.24814815040718963
9062302,newton_fixed,middle_1to3,102,817,0.24697595564229402
9062302,newton_fixed,outer_ge3,90,870,0.31438402869706167
9062302,newton_fixed,gas_rich_proxy,44,651,0.3414370586655653
9062302,newton_fixed,stellar_rich_proxy,58,1561,0.22259195213546654
9062302,mond_fixed,inner_r_over_Rd_lt1,96,525,0.1643385759328922
9062302,mond_fixed,middle_1to3,102,817,0.10004708908259778
9062302,mond_fixed,outer_ge3,90,870,0.07053614995896242
9062302,mond_fixed,gas_rich_proxy,44,651,0.12030865913540707
9062302,mond_fixed,stellar_rich_proxy,58,1561,0.09502346576118499
9062302,newton_ml,inner_r_over_Rd_lt1,96,525,0.2265939713202927
9062302,newton_ml,middle_1to3,102,817,0.22281002604567704
9062302,newton_ml,outer_ge3,90,870,0.2942721543332205
9062302,newton_ml,gas_rich_proxy,44,651,0.322065867249411
9062302,newton_ml,stellar_rich_proxy,58,1561,0.19695742904973385
9062302,mond_adjusted,inner_r_over_Rd_lt1,96,525,0.15386246238556972
9062302,mond_adjusted,middle_1to3,102,817,0.09365974865193002
9062302,mond_adjusted,outer_ge3,90,870,0.07157883880810464
9062302,mond_adjusted,gas_rich_proxy,44,651,0.11176671249931451
9062302,mond_adjusted,stellar_rich_proxy,58,1561,0.09285220476930295
9062302,absorption_proxy,inner_r_over_Rd_lt1,96,525,0.2265939713202927
9062302,absorption_proxy,middle_1to3,102,817,0.22281002604567704
9062302,absorption_proxy,outer_ge3,90,870,0.2942721543332205
9062302,absorption_proxy,gas_rich_proxy,44,651,0.322065867249411
9062302,absorption_proxy,stellar_rich_proxy,58,1561,0.19695742904973385
9062302,surface_relay,inner_r_over_Rd_lt1,96,525,0.16218089036512454
9062302,surface_relay,middle_1to3,102,817,0.10346294906053063
9062302,surface_relay,outer_ge3,90,870,0.08685912645887443
9062302,surface_relay,gas_rich_proxy,44,651,0.1279339686968731
9062302,surface_relay,stellar_rich_proxy,58,1561,0.10094834992149765
9062302,clock_potential,inner_r_over_Rd_lt1,96,525,0.25416257167337186
9062302,clock_potential,middle_1to3,102,817,0.10944907293658386
9062302,clock_potential,outer_ge3,90,870,0.1028615135041076
9062302,clock_potential,gas_rich_proxy,44,651,0.18102811780465805
9062302,clock_potential,stellar_rich_proxy,58,1561,0.12758594816973098
9062302,kernel_point,inner_r_over_Rd_lt1,96,525,0.17567561696256515
9062302,kernel_point,middle_1to3,102,817,0.12490754500705789
9062302,kernel_point,outer_ge3,90,870,0.1127972702696061
9062302,kernel_point,gas_rich_proxy,44,651,0.1417194777933179
9062302,kernel_point,stellar_rich_proxy,58,1561,0.10793459709085194
9062302,finite_p2,inner_r_over_Rd_lt1,96,525,0.20223183511612627
9062302,finite_p2,middle_1to3,102,817,0.14081951491949096
9062302,finite_p2,outer_ge3,90,870,0.12496103411650165
9062302,finite_p2,gas_rich_proxy,44,651,0.15802852095586176
9062302,finite_p2,stellar_rich_proxy,58,1561,0.12184089952948793
9062302,finite_p3,inner_r_over_Rd_lt1,96,525,0.17604953526779413
9062302,finite_p3,middle_1to3,102,817,0.13372377237940478
9062302,finite_p3,outer_ge3,90,870,0.10014418406170628
9062302,finite_p3,gas_rich_proxy,44,651,0.13598342494236765
9062302,finite_p3,stellar_rich_proxy,58,1561,0.1058083645595846
9062302,finite_mixture,inner_r_over_Rd_lt1,96,525,0.17604953526779413
9062302,finite_mixture,middle_1to3,102,817,0.13372377237940478
9062302,finite_mixture,outer_ge3,90,870,0.10014418406170628
9062302,finite_mixture,gas_rich_proxy,44,651,0.13598342494236765
9062302,finite_mixture,stellar_rich_proxy,58,1561,0.1058083645595846
9062302,training_selected,inner_r_over_Rd_lt1,96,525,0.15386246238556972
9062302,training_selected,middle_1to3,102,817,0.09365974865193002
9062302,training_selected,outer_ge3,90,870,0.07157883880810464
9062302,training_selected,gas_rich_proxy,44,651,0.11176671249931451
9062302,training_selected,stellar_rich_proxy,58,1561,0.09285220476930295
9062303,newton_fixed,inner_r_over_Rd_lt1,96,525,0.24814815040718963
9062303,newton_fixed,middle_1to3,102,817,0.24697595564229402
9062303,newton_fixed,outer_ge3,90,870,0.31438402869706167
9062303,newton_fixed,gas_rich_proxy,44,651,0.3414370586655653
9062303,newton_fixed,stellar_rich_proxy,58,1561,0.22259195213546654
9062303,mond_fixed,inner_r_over_Rd_lt1,96,525,0.1643385759328922
9062303,mond_fixed,middle_1to3,102,817,0.10004708908259778
9062303,mond_fixed,outer_ge3,90,870,0.07053614995896242
9062303,mond_fixed,gas_rich_proxy,44,651,0.12030865913540707
9062303,mond_fixed,stellar_rich_proxy,58,1561,0.09502346576118499
9062303,newton_ml,inner_r_over_Rd_lt1,96,525,0.2265939713202927
9062303,newton_ml,middle_1to3,102,817,0.22281002604567704
9062303,newton_ml,outer_ge3,90,870,0.2942721543332205
9062303,newton_ml,gas_rich_proxy,44,651,0.322065867249411
9062303,newton_ml,stellar_rich_proxy,58,1561,0.19695742904973385
9062303,mond_adjusted,inner_r_over_Rd_lt1,96,525,0.15386246238556972
9062303,mond_adjusted,middle_1to3,102,817,0.09365974865193002
9062303,mond_adjusted,outer_ge3,90,870,0.07157883880810464
9062303,mond_adjusted,gas_rich_proxy,44,651,0.11176671249931451
9062303,mond_adjusted,stellar_rich_proxy,58,1561,0.09285220476930295
9062303,absorption_proxy,inner_r_over_Rd_lt1,96,525,0.2265939713202927
9062303,absorption_proxy,middle_1to3,102,817,0.22281002604567704
9062303,absorption_proxy,outer_ge3,90,870,0.2942721543332205
9062303,absorption_proxy,gas_rich_proxy,44,651,0.322065867249411
9062303,absorption_proxy,stellar_rich_proxy,58,1561,0.19695742904973385
9062303,surface_relay,inner_r_over_Rd_lt1,96,525,0.16218089036512454
9062303,surface_relay,middle_1to3,102,817,0.10346294906053063
9062303,surface_relay,outer_ge3,90,870,0.08685912645887443
9062303,surface_relay,gas_rich_proxy,44,651,0.1279339686968731
9062303,surface_relay,stellar_rich_proxy,58,1561,0.10094834992149765
9062303,clock_potential,inner_r_over_Rd_lt1,96,525,0.25416257167337186
9062303,clock_potential,middle_1to3,102,817,0.10944907293658386
9062303,clock_potential,outer_ge3,90,870,0.1028615135041076
9062303,clock_potential,gas_rich_proxy,44,651,0.18102811780465805
9062303,clock_potential,stellar_rich_proxy,58,1561,0.12758594816973098
9062303,kernel_point,inner_r_over_Rd_lt1,96,525,0.17567561696256515
9062303,kernel_point,middle_1to3,102,817,0.12490754500705789
9062303,kernel_point,outer_ge3,90,870,0.1127972702696061
9062303,kernel_point,gas_rich_proxy,44,651,0.1417194777933179
9062303,kernel_point,stellar_rich_proxy,58,1561,0.10793459709085194
9062303,finite_p2,inner_r_over_Rd_lt1,96,525,0.20461274223984727
9062303,finite_p2,middle_1to3,102,817,0.1360625583875868
9062303,finite_p2,outer_ge3,90,870,0.11569011609446737
9062303,finite_p2,gas_rich_proxy,44,651,0.16013275384632913
9062303,finite_p2,stellar_rich_proxy,58,1561,0.11313029926390279
9062303,finite_p3,inner_r_over_Rd_lt1,96,525,0.17604953526779413
9062303,finite_p3,middle_1to3,102,817,0.13372377237940478
9062303,finite_p3,outer_ge3,90,870,0.10014418406170628
9062303,finite_p3,gas_rich_proxy,44,651,0.13598342494236765
9062303,finite_p3,stellar_rich_proxy,58,1561,0.1058083645595846
9062303,finite_mixture,inner_r_over_Rd_lt1,96,525,0.17604953526779413
9062303,finite_mixture,middle_1to3,102,817,0.13372377237940478
9062303,finite_mixture,outer_ge3,90,870,0.10014418406170628
9062303,finite_mixture,gas_rich_proxy,44,651,0.13598342494236765
9062303,finite_mixture,stellar_rich_proxy,58,1561,0.1058083645595846
9062303,training_selected,inner_r_over_Rd_lt1,96,525,0.15386246238556972
9062303,training_selected,middle_1to3,102,817,0.09365974865193002
9062303,training_selected,outer_ge3,90,870,0.07157883880810464
9062303,training_selected,gas_rich_proxy,44,651,0.11176671249931451
9062303,training_selected,stellar_rich_proxy,58,1561,0.09285220476930295
