tag,height,gravity,pressure_reference,branch,spin,systemic,sigma
h0p1_newton_p10_boxcar_independent_s1_sys0_sig3,h0p1,newton,10.0,boxcar_independent,1,0.0,3.0
h0p1_newton_p10_boxcar_independent_s1_sys0_sig10,h0p1,newton,10.0,boxcar_independent,1,0.0,10.0
h0p1_newton_p10_boxcar_independent_s1_sys-30_sig3,h0p1,newton,10.0,boxcar_independent,1,-30.0,3.0
h0p1_newton_p10_boxcar_independent_s1_sys-30_sig20,h0p1,newton,10.0,boxcar_independent,1,-30.0,20.0
h0p1_newton_p10_boxcar_independent_s1_sys30_sig3,h0p1,newton,10.0,boxcar_independent,1,30.0,3.0
h0p1_newton_p10_boxcar_independent_s1_sys30_sig20,h0p1,newton,10.0,boxcar_independent,1,30.0,20.0
h0p1_newton_p10_boxcar_hanning_full_s-1_sys0_sig3,h0p1,newton,10.0,boxcar_hanning_full,-1,0.0,3.0
h0p1_newton_p10_boxcar_hanning_full_s-1_sys0_sig10,h0p1,newton,10.0,boxcar_hanning_full,-1,0.0,10.0
h0p1_newton_p10_boxcar_hanning_full_s-1_sys-30_sig3,h0p1,newton,10.0,boxcar_hanning_full,-1,-30.0,3.0
h0p1_newton_p10_boxcar_hanning_full_s-1_sys-30_sig20,h0p1,newton,10.0,boxcar_hanning_full,-1,-30.0,20.0
h0p1_newton_p10_boxcar_hanning_full_s-1_sys30_sig3,h0p1,newton,10.0,boxcar_hanning_full,-1,30.0,3.0
h0p1_newton_p10_boxcar_hanning_full_s-1_sys30_sig20,h0p1,newton,10.0,boxcar_hanning_full,-1,30.0,20.0
h0p1_newton_p10_boxcar_hanning_full_s1_sys0_sig3,h0p1,newton,10.0,boxcar_hanning_full,1,0.0,3.0
h0p1_newton_p10_boxcar_hanning_full_s1_sys0_sig10,h0p1,newton,10.0,boxcar_hanning_full,1,0.0,10.0
h0p1_newton_p10_boxcar_hanning_full_s1_sys-30_sig3,h0p1,newton,10.0,boxcar_hanning_full,1,-30.0,3.0
h0p1_newton_p10_boxcar_hanning_full_s1_sys-30_sig20,h0p1,newton,10.0,boxcar_hanning_full,1,-30.0,20.0
h0p1_newton_p10_boxcar_hanning_full_s1_sys30_sig3,h0p1,newton,10.0,boxcar_hanning_full,1,30.0,3.0
h0p1_newton_p10_boxcar_hanning_full_s1_sys30_sig20,h0p1,newton,10.0,boxcar_hanning_full,1,30.0,20.0
h0p1_newton_p10_boxcar_hanning_decimated_s-1_sys0_sig3,h0p1,newton,10.0,boxcar_hanning_decimated,-1,0.0,3.0
h0p1_newton_p10_boxcar_hanning_decimated_s-1_sys0_sig10,h0p1,newton,10.0,boxcar_hanning_decimated,-1,0.0,10.0
h0p1_newton_p10_boxcar_hanning_decimated_s-1_sys-30_sig3,h0p1,newton,10.0,boxcar_hanning_decimated,-1,-30.0,3.0
h0p1_newton_p10_boxcar_hanning_decimated_s-1_sys-30_sig20,h0p1,newton,10.0,boxcar_hanning_decimated,-1,-30.0,20.0
h0p1_newton_p10_boxcar_hanning_decimated_s-1_sys30_sig3,h0p1,newton,10.0,boxcar_hanning_decimated,-1,30.0,3.0
h0p1_newton_p10_boxcar_hanning_decimated_s-1_sys30_sig20,h0p1,newton,10.0,boxcar_hanning_decimated,-1,30.0,20.0
h0p1_newton_p10_boxcar_hanning_decimated_s1_sys0_sig3,h0p1,newton,10.0,boxcar_hanning_decimated,1,0.0,3.0
h0p1_newton_p10_boxcar_hanning_decimated_s1_sys0_sig10,h0p1,newton,10.0,boxcar_hanning_decimated,1,0.0,10.0
h0p1_newton_p10_boxcar_hanning_decimated_s1_sys-30_sig3,h0p1,newton,10.0,boxcar_hanning_decimated,1,-30.0,3.0
h0p1_newton_p10_boxcar_hanning_decimated_s1_sys-30_sig20,h0p1,newton,10.0,boxcar_hanning_decimated,1,-30.0,20.0
h0p1_newton_p10_boxcar_hanning_decimated_s1_sys30_sig3,h0p1,newton,10.0,boxcar_hanning_decimated,1,30.0,3.0
h0p1_newton_p10_boxcar_hanning_decimated_s1_sys30_sig20,h0p1,newton,10.0,boxcar_hanning_decimated,1,30.0,20.0
h0p1_newton_p15_boxcar_independent_s-1_sys0_sig3,h0p1,newton,15.0,boxcar_independent,-1,0.0,3.0
h0p1_newton_p15_boxcar_independent_s-1_sys0_sig10,h0p1,newton,15.0,boxcar_independent,-1,0.0,10.0
h0p1_newton_p15_boxcar_independent_s1_sys0_sig3,h0p1,newton,15.0,boxcar_independent,1,0.0,3.0
h0p1_newton_p15_boxcar_independent_s1_sys0_sig10,h0p1,newton,15.0,boxcar_independent,1,0.0,10.0
h0p1_newton_p15_boxcar_hanning_full_s-1_sys0_sig3,h0p1,newton,15.0,boxcar_hanning_full,-1,0.0,3.0
h0p1_newton_p15_boxcar_hanning_full_s-1_sys0_sig10,h0p1,newton,15.0,boxcar_hanning_full,-1,0.0,10.0
h0p1_newton_p15_boxcar_hanning_full_s1_sys0_sig3,h0p1,newton,15.0,boxcar_hanning_full,1,0.0,3.0
h0p1_newton_p15_boxcar_hanning_full_s1_sys0_sig10,h0p1,newton,15.0,boxcar_hanning_full,1,0.0,10.0
h0p1_newton_p15_boxcar_hanning_decimated_s-1_sys0_sig3,h0p1,newton,15.0,boxcar_hanning_decimated,-1,0.0,3.0
h0p1_newton_p15_boxcar_hanning_decimated_s-1_sys0_sig10,h0p1,newton,15.0,boxcar_hanning_decimated,-1,0.0,10.0
h0p1_newton_p15_boxcar_hanning_decimated_s1_sys0_sig3,h0p1,newton,15.0,boxcar_hanning_decimated,1,0.0,3.0
h0p1_newton_p15_boxcar_hanning_decimated_s1_sys0_sig10,h0p1,newton,15.0,boxcar_hanning_decimated,1,0.0,10.0
h0p1_newton_plus_log_p5_boxcar_independent_s-1_sys0_sig3,h0p1,newton_plus_log,5.0,boxcar_independent,-1,0.0,3.0
h0p1_newton_plus_log_p5_boxcar_independent_s-1_sys0_sig10,h0p1,newton_plus_log,5.0,boxcar_independent,-1,0.0,10.0
h0p1_newton_plus_log_p5_boxcar_independent_s1_sys0_sig3,h0p1,newton_plus_log,5.0,boxcar_independent,1,0.0,3.0
h0p1_newton_plus_log_p5_boxcar_independent_s1_sys0_sig10,h0p1,newton_plus_log,5.0,boxcar_independent,1,0.0,10.0
h0p1_newton_plus_log_p5_boxcar_hanning_full_s-1_sys0_sig3,h0p1,newton_plus_log,5.0,boxcar_hanning_full,-1,0.0,3.0
h0p1_newton_plus_log_p5_boxcar_hanning_full_s-1_sys0_sig10,h0p1,newton_plus_log,5.0,boxcar_hanning_full,-1,0.0,10.0
h0p1_newton_plus_log_p5_boxcar_hanning_full_s1_sys0_sig3,h0p1,newton_plus_log,5.0,boxcar_hanning_full,1,0.0,3.0
h0p1_newton_plus_log_p5_boxcar_hanning_full_s1_sys0_sig10,h0p1,newton_plus_log,5.0,boxcar_hanning_full,1,0.0,10.0
h0p1_newton_plus_log_p5_boxcar_hanning_decimated_s-1_sys0_sig3,h0p1,newton_plus_log,5.0,boxcar_hanning_decimated,-1,0.0,3.0
h0p1_newton_plus_log_p5_boxcar_hanning_decimated_s-1_sys0_sig10,h0p1,newton_plus_log,5.0,boxcar_hanning_decimated,-1,0.0,10.0
h0p1_newton_plus_log_p5_boxcar_hanning_decimated_s1_sys0_sig3,h0p1,newton_plus_log,5.0,boxcar_hanning_decimated,1,0.0,3.0
h0p1_newton_plus_log_p5_boxcar_hanning_decimated_s1_sys0_sig10,h0p1,newton_plus_log,5.0,boxcar_hanning_decimated,1,0.0,10.0
h0p1_newton_plus_log_p10_boxcar_independent_s-1_sys0_sig3,h0p1,newton_plus_log,10.0,boxcar_independent,-1,0.0,3.0
h0p1_newton_plus_log_p10_boxcar_independent_s-1_sys0_sig10,h0p1,newton_plus_log,10.0,boxcar_independent,-1,0.0,10.0
h0p1_newton_plus_log_p10_boxcar_independent_s-1_sys-30_sig3,h0p1,newton_plus_log,10.0,boxcar_independent,-1,-30.0,3.0
h0p1_newton_plus_log_p10_boxcar_independent_s-1_sys-30_sig20,h0p1,newton_plus_log,10.0,boxcar_independent,-1,-30.0,20.0
h0p1_newton_plus_log_p10_boxcar_independent_s-1_sys30_sig3,h0p1,newton_plus_log,10.0,boxcar_independent,-1,30.0,3.0
h0p1_newton_plus_log_p10_boxcar_independent_s-1_sys30_sig20,h0p1,newton_plus_log,10.0,boxcar_independent,-1,30.0,20.0
h0p1_newton_plus_log_p10_boxcar_independent_s1_sys0_sig3,h0p1,newton_plus_log,10.0,boxcar_independent,1,0.0,3.0
h0p1_newton_plus_log_p10_boxcar_independent_s1_sys0_sig10,h0p1,newton_plus_log,10.0,boxcar_independent,1,0.0,10.0
h0p1_newton_plus_log_p10_boxcar_independent_s1_sys-30_sig3,h0p1,newton_plus_log,10.0,boxcar_independent,1,-30.0,3.0
h0p1_newton_plus_log_p10_boxcar_independent_s1_sys-30_sig20,h0p1,newton_plus_log,10.0,boxcar_independent,1,-30.0,20.0
h0p1_newton_plus_log_p10_boxcar_independent_s1_sys30_sig3,h0p1,newton_plus_log,10.0,boxcar_independent,1,30.0,3.0
h0p1_newton_plus_log_p10_boxcar_independent_s1_sys30_sig20,h0p1,newton_plus_log,10.0,boxcar_independent,1,30.0,20.0
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1_sys0_sig3,h0p1,newton_plus_log,10.0,boxcar_hanning_full,-1,0.0,3.0
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1_sys0_sig10,h0p1,newton_plus_log,10.0,boxcar_hanning_full,-1,0.0,10.0
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1_sys-30_sig3,h0p1,newton_plus_log,10.0,boxcar_hanning_full,-1,-30.0,3.0
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1_sys-30_sig20,h0p1,newton_plus_log,10.0,boxcar_hanning_full,-1,-30.0,20.0
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1_sys30_sig3,h0p1,newton_plus_log,10.0,boxcar_hanning_full,-1,30.0,3.0
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1_sys30_sig20,h0p1,newton_plus_log,10.0,boxcar_hanning_full,-1,30.0,20.0
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1_sys0_sig3,h0p1,newton_plus_log,10.0,boxcar_hanning_full,1,0.0,3.0
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1_sys0_sig10,h0p1,newton_plus_log,10.0,boxcar_hanning_full,1,0.0,10.0
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1_sys-30_sig3,h0p1,newton_plus_log,10.0,boxcar_hanning_full,1,-30.0,3.0
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1_sys-30_sig20,h0p1,newton_plus_log,10.0,boxcar_hanning_full,1,-30.0,20.0
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1_sys30_sig3,h0p1,newton_plus_log,10.0,boxcar_hanning_full,1,30.0,3.0
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1_sys30_sig20,h0p1,newton_plus_log,10.0,boxcar_hanning_full,1,30.0,20.0
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1_sys0_sig3,h0p1,newton_plus_log,10.0,boxcar_hanning_decimated,-1,0.0,3.0
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1_sys0_sig10,h0p1,newton_plus_log,10.0,boxcar_hanning_decimated,-1,0.0,10.0
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1_sys-30_sig3,h0p1,newton_plus_log,10.0,boxcar_hanning_decimated,-1,-30.0,3.0
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1_sys-30_sig20,h0p1,newton_plus_log,10.0,boxcar_hanning_decimated,-1,-30.0,20.0
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1_sys30_sig3,h0p1,newton_plus_log,10.0,boxcar_hanning_decimated,-1,30.0,3.0
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1_sys30_sig20,h0p1,newton_plus_log,10.0,boxcar_hanning_decimated,-1,30.0,20.0
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1_sys0_sig3,h0p1,newton_plus_log,10.0,boxcar_hanning_decimated,1,0.0,3.0
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1_sys0_sig10,h0p1,newton_plus_log,10.0,boxcar_hanning_decimated,1,0.0,10.0
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1_sys-30_sig3,h0p1,newton_plus_log,10.0,boxcar_hanning_decimated,1,-30.0,3.0
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1_sys-30_sig20,h0p1,newton_plus_log,10.0,boxcar_hanning_decimated,1,-30.0,20.0
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1_sys30_sig3,h0p1,newton_plus_log,10.0,boxcar_hanning_decimated,1,30.0,3.0
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1_sys30_sig20,h0p1,newton_plus_log,10.0,boxcar_hanning_decimated,1,30.0,20.0
h0p1_newton_plus_log_p15_boxcar_independent_s-1_sys0_sig3,h0p1,newton_plus_log,15.0,boxcar_independent,-1,0.0,3.0
h0p1_newton_plus_log_p15_boxcar_independent_s-1_sys0_sig10,h0p1,newton_plus_log,15.0,boxcar_independent,-1,0.0,10.0
h0p1_newton_plus_log_p15_boxcar_independent_s1_sys0_sig3,h0p1,newton_plus_log,15.0,boxcar_independent,1,0.0,3.0
h0p1_newton_plus_log_p15_boxcar_independent_s1_sys0_sig10,h0p1,newton_plus_log,15.0,boxcar_independent,1,0.0,10.0
h0p1_newton_plus_log_p15_boxcar_hanning_full_s-1_sys0_sig3,h0p1,newton_plus_log,15.0,boxcar_hanning_full,-1,0.0,3.0
h0p1_newton_plus_log_p15_boxcar_hanning_full_s-1_sys0_sig10,h0p1,newton_plus_log,15.0,boxcar_hanning_full,-1,0.0,10.0
h0p1_newton_plus_log_p15_boxcar_hanning_full_s1_sys0_sig3,h0p1,newton_plus_log,15.0,boxcar_hanning_full,1,0.0,3.0
h0p1_newton_plus_log_p15_boxcar_hanning_full_s1_sys0_sig10,h0p1,newton_plus_log,15.0,boxcar_hanning_full,1,0.0,10.0
h0p1_newton_plus_log_p15_boxcar_hanning_decimated_s-1_sys0_sig3,h0p1,newton_plus_log,15.0,boxcar_hanning_decimated,-1,0.0,3.0
h0p1_newton_plus_log_p15_boxcar_hanning_decimated_s-1_sys0_sig10,h0p1,newton_plus_log,15.0,boxcar_hanning_decimated,-1,0.0,10.0
h0p1_newton_plus_log_p15_boxcar_hanning_decimated_s1_sys0_sig3,h0p1,newton_plus_log,15.0,boxcar_hanning_decimated,1,0.0,3.0
h0p1_newton_plus_log_p15_boxcar_hanning_decimated_s1_sys0_sig10,h0p1,newton_plus_log,15.0,boxcar_hanning_decimated,1,0.0,10.0
h0p4_newton_p5_boxcar_independent_s-1_sys0_sig3,h0p4,newton,5.0,boxcar_independent,-1,0.0,3.0
h0p4_newton_p5_boxcar_independent_s-1_sys0_sig10,h0p4,newton,5.0,boxcar_independent,-1,0.0,10.0
h0p4_newton_p5_boxcar_independent_s1_sys0_sig3,h0p4,newton,5.0,boxcar_independent,1,0.0,3.0
h0p4_newton_p5_boxcar_independent_s1_sys0_sig10,h0p4,newton,5.0,boxcar_independent,1,0.0,10.0
h0p4_newton_p5_boxcar_hanning_full_s-1_sys0_sig3,h0p4,newton,5.0,boxcar_hanning_full,-1,0.0,3.0
h0p4_newton_p5_boxcar_hanning_full_s-1_sys0_sig10,h0p4,newton,5.0,boxcar_hanning_full,-1,0.0,10.0
h0p4_newton_p5_boxcar_hanning_full_s1_sys0_sig3,h0p4,newton,5.0,boxcar_hanning_full,1,0.0,3.0
h0p4_newton_p5_boxcar_hanning_full_s1_sys0_sig10,h0p4,newton,5.0,boxcar_hanning_full,1,0.0,10.0
h0p4_newton_p5_boxcar_hanning_decimated_s-1_sys0_sig3,h0p4,newton,5.0,boxcar_hanning_decimated,-1,0.0,3.0
h0p4_newton_p5_boxcar_hanning_decimated_s-1_sys0_sig10,h0p4,newton,5.0,boxcar_hanning_decimated,-1,0.0,10.0
h0p4_newton_p5_boxcar_hanning_decimated_s1_sys0_sig3,h0p4,newton,5.0,boxcar_hanning_decimated,1,0.0,3.0
h0p4_newton_p5_boxcar_hanning_decimated_s1_sys0_sig10,h0p4,newton,5.0,boxcar_hanning_decimated,1,0.0,10.0
h0p4_newton_p10_boxcar_independent_s-1_sys0_sig3,h0p4,newton,10.0,boxcar_independent,-1,0.0,3.0
h0p4_newton_p10_boxcar_independent_s-1_sys0_sig10,h0p4,newton,10.0,boxcar_independent,-1,0.0,10.0
h0p4_newton_p10_boxcar_independent_s1_sys0_sig3,h0p4,newton,10.0,boxcar_independent,1,0.0,3.0
h0p4_newton_p10_boxcar_independent_s1_sys0_sig10,h0p4,newton,10.0,boxcar_independent,1,0.0,10.0
h0p4_newton_p10_boxcar_hanning_full_s-1_sys0_sig3,h0p4,newton,10.0,boxcar_hanning_full,-1,0.0,3.0
h0p4_newton_p10_boxcar_hanning_full_s-1_sys0_sig10,h0p4,newton,10.0,boxcar_hanning_full,-1,0.0,10.0
h0p4_newton_p10_boxcar_hanning_full_s1_sys0_sig3,h0p4,newton,10.0,boxcar_hanning_full,1,0.0,3.0
h0p4_newton_p10_boxcar_hanning_full_s1_sys0_sig10,h0p4,newton,10.0,boxcar_hanning_full,1,0.0,10.0
h0p4_newton_p10_boxcar_hanning_decimated_s-1_sys0_sig3,h0p4,newton,10.0,boxcar_hanning_decimated,-1,0.0,3.0
h0p4_newton_p10_boxcar_hanning_decimated_s-1_sys0_sig10,h0p4,newton,10.0,boxcar_hanning_decimated,-1,0.0,10.0
h0p4_newton_p10_boxcar_hanning_decimated_s1_sys0_sig3,h0p4,newton,10.0,boxcar_hanning_decimated,1,0.0,3.0
h0p4_newton_p10_boxcar_hanning_decimated_s1_sys0_sig10,h0p4,newton,10.0,boxcar_hanning_decimated,1,0.0,10.0
h0p4_newton_p15_boxcar_independent_s-1_sys0_sig3,h0p4,newton,15.0,boxcar_independent,-1,0.0,3.0
h0p4_newton_p15_boxcar_independent_s-1_sys0_sig10,h0p4,newton,15.0,boxcar_independent,-1,0.0,10.0
h0p4_newton_p15_boxcar_independent_s1_sys0_sig3,h0p4,newton,15.0,boxcar_independent,1,0.0,3.0
h0p4_newton_p15_boxcar_independent_s1_sys0_sig10,h0p4,newton,15.0,boxcar_independent,1,0.0,10.0
h0p4_newton_p15_boxcar_hanning_full_s-1_sys0_sig3,h0p4,newton,15.0,boxcar_hanning_full,-1,0.0,3.0
h0p4_newton_p15_boxcar_hanning_full_s-1_sys0_sig10,h0p4,newton,15.0,boxcar_hanning_full,-1,0.0,10.0
h0p4_newton_p15_boxcar_hanning_full_s1_sys0_sig3,h0p4,newton,15.0,boxcar_hanning_full,1,0.0,3.0
h0p4_newton_p15_boxcar_hanning_full_s1_sys0_sig10,h0p4,newton,15.0,boxcar_hanning_full,1,0.0,10.0
h0p4_newton_p15_boxcar_hanning_decimated_s-1_sys0_sig3,h0p4,newton,15.0,boxcar_hanning_decimated,-1,0.0,3.0
h0p4_newton_p15_boxcar_hanning_decimated_s-1_sys0_sig10,h0p4,newton,15.0,boxcar_hanning_decimated,-1,0.0,10.0
h0p4_newton_p15_boxcar_hanning_decimated_s1_sys0_sig3,h0p4,newton,15.0,boxcar_hanning_decimated,1,0.0,3.0
h0p4_newton_p15_boxcar_hanning_decimated_s1_sys0_sig10,h0p4,newton,15.0,boxcar_hanning_decimated,1,0.0,10.0
h0p4_newton_plus_log_p5_boxcar_independent_s-1_sys0_sig3,h0p4,newton_plus_log,5.0,boxcar_independent,-1,0.0,3.0
h0p4_newton_plus_log_p5_boxcar_independent_s-1_sys0_sig10,h0p4,newton_plus_log,5.0,boxcar_independent,-1,0.0,10.0
h0p4_newton_plus_log_p5_boxcar_independent_s1_sys0_sig3,h0p4,newton_plus_log,5.0,boxcar_independent,1,0.0,3.0
h0p4_newton_plus_log_p5_boxcar_independent_s1_sys0_sig10,h0p4,newton_plus_log,5.0,boxcar_independent,1,0.0,10.0
h0p4_newton_plus_log_p5_boxcar_hanning_full_s-1_sys0_sig3,h0p4,newton_plus_log,5.0,boxcar_hanning_full,-1,0.0,3.0
h0p4_newton_plus_log_p5_boxcar_hanning_full_s-1_sys0_sig10,h0p4,newton_plus_log,5.0,boxcar_hanning_full,-1,0.0,10.0
h0p4_newton_plus_log_p5_boxcar_hanning_full_s1_sys0_sig3,h0p4,newton_plus_log,5.0,boxcar_hanning_full,1,0.0,3.0
h0p4_newton_plus_log_p5_boxcar_hanning_full_s1_sys0_sig10,h0p4,newton_plus_log,5.0,boxcar_hanning_full,1,0.0,10.0
h0p4_newton_plus_log_p5_boxcar_hanning_decimated_s-1_sys0_sig3,h0p4,newton_plus_log,5.0,boxcar_hanning_decimated,-1,0.0,3.0
h0p4_newton_plus_log_p5_boxcar_hanning_decimated_s-1_sys0_sig10,h0p4,newton_plus_log,5.0,boxcar_hanning_decimated,-1,0.0,10.0
h0p4_newton_plus_log_p5_boxcar_hanning_decimated_s1_sys0_sig3,h0p4,newton_plus_log,5.0,boxcar_hanning_decimated,1,0.0,3.0
h0p4_newton_plus_log_p5_boxcar_hanning_decimated_s1_sys0_sig10,h0p4,newton_plus_log,5.0,boxcar_hanning_decimated,1,0.0,10.0
h0p4_newton_plus_log_p10_boxcar_independent_s-1_sys0_sig3,h0p4,newton_plus_log,10.0,boxcar_independent,-1,0.0,3.0
h0p4_newton_plus_log_p10_boxcar_independent_s-1_sys0_sig10,h0p4,newton_plus_log,10.0,boxcar_independent,-1,0.0,10.0
h0p4_newton_plus_log_p10_boxcar_independent_s1_sys0_sig3,h0p4,newton_plus_log,10.0,boxcar_independent,1,0.0,3.0
h0p4_newton_plus_log_p10_boxcar_independent_s1_sys0_sig10,h0p4,newton_plus_log,10.0,boxcar_independent,1,0.0,10.0
h0p4_newton_plus_log_p10_boxcar_hanning_full_s-1_sys0_sig3,h0p4,newton_plus_log,10.0,boxcar_hanning_full,-1,0.0,3.0
h0p4_newton_plus_log_p10_boxcar_hanning_full_s-1_sys0_sig10,h0p4,newton_plus_log,10.0,boxcar_hanning_full,-1,0.0,10.0
h0p4_newton_plus_log_p10_boxcar_hanning_full_s1_sys0_sig3,h0p4,newton_plus_log,10.0,boxcar_hanning_full,1,0.0,3.0
h0p4_newton_plus_log_p10_boxcar_hanning_full_s1_sys0_sig10,h0p4,newton_plus_log,10.0,boxcar_hanning_full,1,0.0,10.0
h0p4_newton_plus_log_p10_boxcar_hanning_decimated_s-1_sys0_sig3,h0p4,newton_plus_log,10.0,boxcar_hanning_decimated,-1,0.0,3.0
h0p4_newton_plus_log_p10_boxcar_hanning_decimated_s-1_sys0_sig10,h0p4,newton_plus_log,10.0,boxcar_hanning_decimated,-1,0.0,10.0
h0p4_newton_plus_log_p10_boxcar_hanning_decimated_s1_sys0_sig3,h0p4,newton_plus_log,10.0,boxcar_hanning_decimated,1,0.0,3.0
h0p4_newton_plus_log_p10_boxcar_hanning_decimated_s1_sys0_sig10,h0p4,newton_plus_log,10.0,boxcar_hanning_decimated,1,0.0,10.0
h0p4_newton_plus_log_p15_boxcar_independent_s-1_sys0_sig3,h0p4,newton_plus_log,15.0,boxcar_independent,-1,0.0,3.0
h0p4_newton_plus_log_p15_boxcar_independent_s-1_sys0_sig10,h0p4,newton_plus_log,15.0,boxcar_independent,-1,0.0,10.0
h0p4_newton_plus_log_p15_boxcar_independent_s1_sys0_sig3,h0p4,newton_plus_log,15.0,boxcar_independent,1,0.0,3.0
h0p4_newton_plus_log_p15_boxcar_independent_s1_sys0_sig10,h0p4,newton_plus_log,15.0,boxcar_independent,1,0.0,10.0
h0p4_newton_plus_log_p15_boxcar_hanning_full_s-1_sys0_sig3,h0p4,newton_plus_log,15.0,boxcar_hanning_full,-1,0.0,3.0
h0p4_newton_plus_log_p15_boxcar_hanning_full_s-1_sys0_sig10,h0p4,newton_plus_log,15.0,boxcar_hanning_full,-1,0.0,10.0
h0p4_newton_plus_log_p15_boxcar_hanning_full_s1_sys0_sig3,h0p4,newton_plus_log,15.0,boxcar_hanning_full,1,0.0,3.0
h0p4_newton_plus_log_p15_boxcar_hanning_full_s1_sys0_sig10,h0p4,newton_plus_log,15.0,boxcar_hanning_full,1,0.0,10.0
h0p4_newton_plus_log_p15_boxcar_hanning_decimated_s-1_sys0_sig3,h0p4,newton_plus_log,15.0,boxcar_hanning_decimated,-1,0.0,3.0
h0p4_newton_plus_log_p15_boxcar_hanning_decimated_s-1_sys0_sig10,h0p4,newton_plus_log,15.0,boxcar_hanning_decimated,-1,0.0,10.0
h0p4_newton_plus_log_p15_boxcar_hanning_decimated_s1_sys0_sig3,h0p4,newton_plus_log,15.0,boxcar_hanning_decimated,1,0.0,3.0
h0p4_newton_plus_log_p15_boxcar_hanning_decimated_s1_sys0_sig10,h0p4,newton_plus_log,15.0,boxcar_hanning_decimated,1,0.0,10.0
